student_id,lecture_watch_pct,checklist_pct,attended_live_class,attended_group_discussion,qa_participation_pct,dropout,recommended_activities
S001,79,90,1,1,76,0,"Good Job, You did Well in the Week. Keep the momentum"
S002,67,81,1,1,65,0,Increase your lecture video completion to at least 80% to strengthen understanding.
S003,82,66,1,0,100,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S004,100,53,1,1,13,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S005,65,77,0,1,81,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.
S006,65,72,0,1,78,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.
S007,100,81,1,1,25,1,Participate more in Q&A to clarify doubts and boost retention.
S008,85,76,0,0,75,0,Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.
S009,60,83,1,1,58,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S010,80,55,1,1,44,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S011,60,88,1,1,29,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S012,60,68,1,1,32,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S013,74,100,0,1,100,0,Attend live classes to get real-time support and stay engaged.
S014,31,52,0,0,50,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S015,35,96,1,1,69,0,Increase your lecture video completion to at least 80% to strengthen understanding.
S016,58,68,1,1,30,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S017,49,53,1,1,30,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S018,76,56,1,0,77,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S019,51,59,1,1,16,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S020,41,72,1,0,39,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
